target sourceid ra_alma dec_alma mu870 e_mu870 f870 e_f870 reff e_reff q e_q
ADFS01 Source0  04:50:57.6393 -53:16:54.17    1.64 0.10 4.32 0.28 0.112 0.006 0.41 0.05
ADFS01 Source1  04:50:57.7826 -53:16:56.0115  1.26 0.03 1.49 0.11 0.059 0.018 0.54 0.12
ADFS01 Source2  04:50:57.7168 -53:16:53.6143  2.72 0.33 0.83 0.13 0.084 0.020 0.50 0.13
ADFS02 Source0  04:50:27.1555 -52:41:26.7941  2.29 0.13 2.54 0.18 0.055 0.010 0.83 0.09
ADFS02 Source1  04:50:27.7131 -52:41:25.5422  1.20 0.01 3.72 0.20 0.179 0.012 0.59 0.08
ADFS03 Source0  04:49:46.6039 -52:54:23.6652  1.00 0.00 7.50 0.24 0.109 0.008 0.70 0.11
ADFS03 Source1  04:49:46.3016 -52:54:30.2693  1.00 0.00 3.84 0.27 0.099 0.019 0.53 0.17
ADFS03 Source2  04:49:46.2808 -52:54:26.0632  1.00 0.00 2.06 0.30 0.122 0.040 0.51 0.17
ADFS04 Source0  04:41:03.8667 -53:12:41.3302  1.00 0.00 8.65 0.23 0.073 0.010 0.67 0.15
ADFS04 Source1  04:41:04.0001 -53:12:40.1032  1.00 0.00 3.53 0.18 0.048 0.019 0.71 0.19
ADFS04 Source2  04:41:03.9126 -53:12:42.0992  1.00 0.00 2.76 0.16 0.093 0.020 0.58 0.20
ADFS05 Source0  04:36:19.7068 -55:24:24.4171  1.00 0.00 7.02 0.42 0.136 0.012 0.38 0.06
ADFS05 Source1  04:36:19.6983 -55:24:25.2736  1.00 0.00 8.27 0.53 0.193 0.015 0.42 0.06
ADFS06 Source0  04:33:40.4349 -54:03:39.9047  1.70 0.14 5.14 0.39 0.091 0.006 0.39 0.05
ADFS06 Source1  04:33:40.4704 -54:03:39.8123  1.42 0.07 4.09 0.29 0.165 0.013 0.43 0.06
ADFS06 Source2  04:33:40.4529 -54:03:38.6528  1.79 0.18 1.56 0.20 0.077 0.015 0.75 0.16
ADFS07 Source0  04:41:53.8763 -54:03:53.3404 10.34 0.46 3.14 0.17 0.126 0.006 0.31 0.01
ADFS_M0 Source0 04:38:30.8211 -54:18:30.9264  1.43 0.03 9.81 0.33 0.225 0.006 0.46 0.02
ADFS_M0 Source1 04:38:30.9544 -54:18:27.5415  1.52 0.07 4.27 0.24 0.180 0.010 0.25 0.02
CDFS_M0 Source0 03:27:52.0022 -29:09:12.071   8.29 0.19 1.58 0.06 0.085 0.004 0.38 0.03
CDFS_M0 Source1 03:27:52.0027 -29:09:09.6592  1.52 0.00 9.37 0.14 0.147 0.003 0.65 0.02
CDFS_M0 Source0 03:27:52.0255 -29:09:12.1477  1.00 0.00 5.83 0.11 0.026 0.009 0.79 0.15
CDFS_M1 Source0 03:32:10.9064 -27:05:32.4346  2.95 0.04 3.71 0.09 0.096 0.005 0.35 0.03
CDFS_M1 Source1 03:32:10.7494 -27:05:35.8392  1.12 0.02 2.26 0.10 0.032 0.012 0.68 0.19
COS01 Source0   10:01:44.1826 +02:57:12.5065 14.86 1.90 0.88 0.12 0.055 0.007 0.29 0.03
COS02 Source0   10:00:56.9462 +02:20:17.3587  1.00 0.00 3.31 0.16 0.073 0.017 0.70 0.12
COS02 Source1   10:00:57.5654 +02:20:11.2659  1.00 0.00 2.26 0.19 0.094 0.029 0.76 0.13
COS02 Source2   10:00:56.8554 +02:20:08.931   1.00 0.00 1.54 0.23 0.198 0.051 0.65 0.13
COS02 Source3   10:00:57.274 +02:20:12.6646   1.00 0.00 1.45 0.18 0.101 0.042 0.71 0.13
COS02 Source4   10:00:57.4001 +02:20:10.8361  1.00 0.00 1.80 0.33 0.312 0.060 0.67 0.13
ECDFS02 Source0 03:33:18.0069 -28:09:07.554   1.00 0.00 9.30 1.20 0.099 0.012 0.52 0.12
ECDFS02 Source1 03:33:18.032 -28:09:07.3933   1.00 0.00 4.83 1.26 0.109 0.024 0.38 0.08
ElaisS1 Source0 00:38:23.6889 -43:37:05.0129  1.29 0.02 6.94 0.17 0.096 0.005 0.80 0.05
ElaisS1 Source1 00:38:23.474 -43:37:04.0737   1.68 0.06 2.46 0.12 0.065 0.008 0.84 0.05
ElaisS1 Source2 00:38:23.3834 -43:37:00.1269  1.53 0.04 1.55 0.13 0.105 0.016 0.86 0.04
ElaisS1 Source3 00:38:23.7506 -43:37:09.1174  1.16 0.01 1.57 0.13 0.124 0.020 0.79 0.05
XMM01 Source0   02:20:16.6459 -06:01:42.1875  1.77 0.04 8.68 0.26 0.090 0.005 0.56 0.06
XMM01 Source1   02:20:16.5752 -06:01:43.9194  1.42 0.01 7.91 0.23 0.116 0.006 0.34 0.03
XMM01 Source2   02:20:16.5713 -06:01:43.1345  1.58 0.06 1.15 0.16 0.077 0.025 0.66 0.18
XMM02 Source0   02:22:01.6145 -03:33:39.1022  1.63 0.11 4.97 0.35 0.106 0.007 0.26 0.03
XMM02 Source1   02:22:01.631 -03:33:43.046    1.10 0.01 2.97 0.31 0.168 0.023 0.59 0.16
XMM03 Source0   02:25:47.8952 -04:17:50.2624  1.80 0.16 7.86 0.74 0.095 0.006 0.59 0.06
XMM04 Source0   02:18:53.1187 -06:33:24.1986  1.00 0.00 5.46 0.30 0.088 0.012 0.82 0.14
XMM04 Source1   02:18:53.0953 -06:33:25.2116  1.00 0.00 1.78 0.37 0.116 0.051 0.70 0.20
XMM05 Source0   02:30:05.9512 -03:41:52.7855  2.15 0.23 7.58 0.74 0.111 0.006 0.52 0.04
XMM05 Source1   02:30:05.9431 -03:41:52.3468  1.00 0.00 8.84 0.39 0.137 0.011 0.31 0.05
XMM06 Source0   02:18:30.6686 -05:31:31.7938  5.33 0.19 11.66 0.45 0.122 0.003 0.64 0.02
