target sourceid offra e_offra offdec e_offdec fnu e_fnu size e_size q e_q phi e_phi mu e_mu
ADFS01   Source0      -0.734 0.069     -1.070 0.053      4.32  0.28     0.112 0.006      0.41  0.05      45   3      1.64  0.10   
ADFS01   Source1       1.415 0.056     -2.912 0.059      1.49  0.11     0.059 0.018      0.54  0.12      94  48      1.26  0.03   
ADFS01   Source2       0.427 0.055     -0.514 0.059      0.83  0.13     0.084 0.020      0.50  0.13     125  14      2.72  0.33   
ADFS02   Source0      -0.868 0.050      0.938 0.048      2.54  0.18     0.055 0.010      0.83  0.09     131  20      2.29  0.13   
ADFS02   Source1       7.496 0.058      2.190 0.059      3.72  0.20     0.179 0.012      0.59  0.08      63   6      1.20  0.01   
ADFS03   Source0       2.343 0.007      3.284 0.005      7.50  0.24     0.109 0.008      0.70  0.11      92  14      1.00  0.00   
ADFS03   Source1      -2.191 0.013     -3.320 0.011      3.84  0.27     0.099 0.019      0.53  0.17     135  24      1.00  0.00   
ADFS03   Source2      -2.503 0.035      0.886 0.019      2.06  0.30     0.122 0.040      0.51  0.17      89  20      1.00  0.00   
ADFS04   Source0      -1.126 0.005     -0.319 0.004      8.65  0.23     0.073 0.010      0.67  0.15     133  24      1.00  0.00   
ADFS04   Source1       0.876 0.011      0.908 0.009      3.53  0.18     0.048 0.019      0.71  0.19      84  43      1.00  0.00   
ADFS04   Source2      -0.437 0.017     -1.088 0.016      2.76  0.16     0.093 0.020      0.58  0.20     131  38      1.00  0.00   
ADFS05   Source0       0.067 0.008      0.588 0.015      7.02  0.42     0.136 0.012      0.38  0.06      23   5      1.00  0.00   
ADFS05   Source1      -0.060 0.009     -0.268 0.018      8.27  0.53     0.193 0.015      0.42  0.06      17   4      1.00  0.00   
ADFS06   Source0       0.333 0.101     -0.513 0.040      5.14  0.39     0.091 0.006      0.39  0.05     142   4      1.70  0.14   
ADFS06   Source1       0.865 0.123     -0.420 0.041      4.09  0.29     0.165 0.013      0.43  0.06     141   4      1.42  0.07   
ADFS06   Source2       0.604 0.108      0.739 0.077      1.56  0.20     0.077 0.015      0.75  0.16     101  40      1.79  0.18   
ADFS07   Source0       0.131 0.005     -0.105 0.006      3.28  0.13     0.128 0.005      0.30  0.01      24   1      9.81  0.31   
ADFS_M0   Source0    -1.340 0.043     -1.816 0.119      9.81  0.33     0.225 0.006      0.46  0.02     178   1      1.43  0.03   
ADFS_M0   Source1     0.658 0.039      1.569 0.111      4.27  0.24     0.180 0.010      0.25  0.02     167   2      1.52  0.07   
CDFS_M0   Source0    -0.348 0.006      0.077 0.004      1.58  0.06     0.085 0.004      0.38  0.03     134   3      8.29  0.19   
CDFS_M0   Source1    -0.342 0.005      2.489 0.008      9.37  0.14     0.147 0.003      0.65  0.02      14   2      1.52  0.00   
CDFS_M0   Source0     0.000 0.000      0.000 0.000      5.83  0.11     0.026 0.009      0.79  0.15      85  63      1.00  0.00   
